15224,SALPK03995,SSPA3836,SSPA_RS20905,SSPA3836,-,20,144
15225,SALPK01928,aroG,SSPA_RS09930,SSPA1850,sek:SSPA1850,20,8
15226,SALPK04190,hypT,SSPA_RS21915,SSPA4022,-,20,35
15227,SALPK04115,treR,SSPA_RS21535,SSPA3954,-,20,5
15228,SALPK03996,SSPA3837,SSPA_RS20910,SSPA3837,-,20,36
15229,SALPK03295,tnpA,SSPA_RS17165,SSPA3166,-,2,2
15230,SALPK02316,SSPA2224,SSPA_RS11975,SSPA2224,-,14,1
15231,SALPK02085,SSPA2002,SSPA_RS10810,SSPA2002,-,20,44
15232,SALPK02368,SSPA2267,SSPA_RS12260,SSPA2267,-,1,1
15233,SALPK03696,metR,SSPA_RS19265,SSPA3543,-,20,43
15234,SALPK00596,SSPA0581,SSPA_RS03095,SSPA0581,-,1,3
15235,SALPK03271,ompR,SSPA_RS17045,SSPA3142,-,20,50
15236,SALPK01416,SSPA1360,SSPA_RS07315,SSPA1360,-,19,73
15238,SALPK04126,arcA,SSPA_RS21590,SSPA3964,sek:SSPA3964,20,17
15239,SALPK02481,bapA,SSPA_RS12875,SSPA2373,-,14,2
15242,SALPK02660,hilA,SSPA_RS13870,SSPA2548,-,20,55
15243,SALPK03604,glmS,SSPA_RS18750,SSPA3455,sek:SSPA3455,20,8
15245,SALPK02659,hilD,SSPA_RS13865,SSPA2547,-,20,52
15246,SALPK03550,ilvB,SSPA_RS18460,SSPA3404,sek:SSPA3404,20,7
15248,SALPK01236,mcbR,SSPA_RS06385,SSPA1188,-,18,48
15249,SALPK01943,cydA,SSPA_RS10035,SSPA1865,sek:SSPA1865,20,13
15251,SALPK01568,phoP,SSPA_RS08095,SSPA1504,-,20,165
15252,SALPK01303,SSPA1252,SSPA_RS06735,SSPA1252,-,3,1
15255,SALPK03974,pmrA,SSPA_RS20790,SSPA3817,-,20,90
15256,SALPK01508,SSPA1448,SSPA_RS07780,SSPA1448,-,3,1
15259,SALPK02921,uxuA,SSPA_RS15215,SSPA2801,sek:SSPA2801,20,7
15261,SALPK01179,SSPA1133,SSPA_RS06085,SSPA1133,-,20,4
15264,SALPK01456,ihfA,SSPA_RS07515,SSPA1396,-,20,31
15265,SALPK02043,citC,SSPA_RS10595,SSPA1961,-,19,13
15268,SALPK00757,SSPA0735,SSPA_RS03895,SSPA0735,sek:SSPA0735,16,8
15270,SALPK01142,SSPA1101,SSPA_RS05910,SSPA1101,-,3,1
15272,SALPK00578,rcsB,SSPA_RS02975,SSPA0559,-,20,43
15273,SALPK01554,cdtB,SSPA_RS08025,SSPA1490,-,5,2
15276,SALPK02415,SSPA2309,SSPA_RS12515,SSPA2309,-,2,1
15278,SALPK03932,aphA,SSPA_RS20560,SSPA3775,sek:SSPA3775,20,12
15280,SALPK03236,crp,SSPA_RS16870,SSPA3110,-,20,205
15281,SALPK03515,SSPA3373,SSPA_RS18280,SSPA3373,-,18,8
15283,SALPK03163,fis,SSPA_RS16465,SSPA3038,-,20,281
15284,SALPK01869,glnP,SSPA_RS09635,SSPA1793,sek:SSPA1793,20,5
15286,SALPK02472,SSPA2364,SSPA_RS12835,SSPA2364,-,2,1
15289,SALPK02530,SSPA2422,SSPA_RS13120,SSPA2422,-,4,1
15291,SALPK01989,fur,SSPA_RS10280,SSPA1909,-,20,242
15292,SALPK02335,SSPA2234,SSPA_RS12075,SSPA2234,-,2,1
15295,SALPK02650,SSPA2538,SSPA_RS13820,SSPA2538,-,20,43
15296,SALPK02903,SSPA2783,SSPA_RS15125,SSPA2783,-,2,1
15298,SALPK02406,SSPA2302,SSPA_RS12450,SSPA2302,-,11,4
15300,SALPK00350,SSPA0337,SSPA_RS01795,SSPA0337,-,3,2
15302,SALPK00782,sbmC,SSPA_RS04020,SSPA0757,-,20,2
15304,SALPK03866,SSPA3709,SSPA_RS20205,SSPA3709,-,2,2
15307,SALPK00104,araC,SSPA_RS00535,SSPA0102,-,20,54
15308,SALPK02684,invH,SSPA_RS13990,SSPA2572,-,19,5
15310,SALPK01558,SSPA1494,SSPA_RS08045,SSPA1494,-,5,6
15311,SALPK02086,SSPA2003,SSPA_RS10815,SSPA2003,-,19,62
15313,SALPK02315,SSPA2223,SSPA_RS11970,SSPA2223,-,12,2
15315,SALPK01180,SSPA1134,SSPA_RS06090,SSPA1134,-,7,1
15317,SALPK01929,SSPA1851,SSPA_RS09935,SSPA1851,-,2,1
15319,SALPK00697,SSPA0679,SSPA_RS22980,SSPA0679,-,2,3
15320,SALPK02155,cueR,SSPA_RS11165,SSPA2066,-,20,58
15323,SALPK02026,rsfS,SSPA_RS10505,SSPA1944,-,20,1
15325,SALPK02685,SSPA2573,SSPA_RS13995,SSPA2573,-,14,2
15327,SALPK02529,SSPA2421,SSPA_RS13115,SSPA2421,-,5,1
15329,SALPK00115,leuO,SSPA_RS00595,SSPA0113,-,19,46
15330,SALPK04175,SSPA4007,SSPA_RS21835,SSPA4007,-,2,1
15332,SALPK01272,SSPA1222,SSPA_RS06580,SSPA1222,-,2,2
15334,SALPK01365,slyA,SSPA_RS07050,SSPA1309,-,20,94
15336,SALPK01824,SSPA1749,SSPA1749,SSPA1749,-,2,1
15338,SALPK02908,SSPA2788,SSPA2788,SSPA2788,-,2,2
15340,SALPK00691,SSPA0674,SSPA_RS22975,SSPA0674,-,2,3
15342,SALPK03867,SSPA3710,SSPA_RS20210,SSPA3710,-,4,2
15345,SALPK00118,cra,SSPA_RS00610,SSPA0116,-,20,68
15346,SALPK02897,SSPA2779,SSPA2779,SSPA2779,-,2,5
15347,SALPK02651,sirC,SSPA_RS13825,SSPA2539,-,20,35
15350,SALPK04159,SSPA3995,SSPA_RS24505,SSPA3995,-,2,3
15351,SALPK02107,fimY,SSPA_RS10925,SSPA2021,-,18,31
15352,SALPK01863,mntR,SSPA_RS09605,SSPA1788,-,20,135
15355,SALPK02319,SSPA2227,SSPA_RS11990,SSPA2227,-,3,1
15358,SALPK01785,lrp,SSPA_RS09210,SSPA1711,-,20,43
15359,SALPK02817,SSPA2700,SSPA_RS14680,SSPA2700,-,18,35
15362,SALPK00199,stfA,SSPA_RS01015,SSPA0196,-,16,3
15364,SALPK01282,ompC,SSPA_RS06630,SSPA1231,-,18,4
15367,SALPK00183,SSPA0181,SSPA_RS00935,SSPA0181,-,3,2
15370,SALPK01283,SSPA1232,SSPA_RS06635,SSPA1232,-,19,4
15375,SALPK01527,SSPA1466,SSPA_RS07885,SSPA1466,-,4,1
15379,SALPK02320,SSPA2228,SSPA_RS11995,SSPA2228,-,4,1
15381,SALPK01549,pagD,SSPA_RS08005,SSPA1486,-,17,3
15384,SALPK03475,SSPA3335,SSPA_RS18080,SSPA3335,-,3,1
15387,SALPK03354,SSPA3224,SSPA_RS17470,SSPA3224,-,5,3
15390,SALPK03355,SSPA3225,SSPA_RS17475,SSPA3225,-,3,1
15393,SALPK02094,SSPA2011,SSPA_RS10855,SSPA2011,-,4,1
15395,SALPK04268,SPAP0005,SPAP0005,SPAP0005,-,2,1
15397,SALPK02062,SSPA1979,SSPA_RS10690,SSPA1979,-,20,2
15399,SALPK00899,SSPA0870,SSPA_RS04645,SSPA0870,-,17,2
15403,SALPK02968,parE,SSPA_RS15455,SSPA2846,-,20,2
15404,SALPK03341,SSPA3211,SSPA_RS17405,SSPA3211,-,3,1
15407,SALPK04174,SSPA4006,SSPA_RS21830,SSPA4006,-,3,1
